iter	Logloss
0	0.5942853073
1	0.5267861556
2	0.466657503
3	0.4236212455
4	0.3928602725
5	0.3653623933
6	0.3471362749
7	0.3298155188
8	0.3164286433
9	0.3058706403
10	0.2972384098
11	0.2910718364
12	0.2858942538
13	0.2821232052
14	0.2783599776
15	0.2758403
16	0.2729728024
17	0.2708304137
18	0.2688631978
19	0.2671295834
20	0.265768885
21	0.2645051428
22	0.2630779907
23	0.2622443731
24	0.2612253879
25	0.2605047814
26	0.2599286717
27	0.2591479796
28	0.2584532285
29	0.2577928339
30	0.2571210178
31	0.2566324896
32	0.2559979911
33	0.2551586651
34	0.2546447199
35	0.2542178151
36	0.2537846181
37	0.2531343416
38	0.2526203541
39	0.2522785709
40	0.2519977963
41	0.2516664792
42	0.2511881353
43	0.2509111997
44	0.2505983804
45	0.2501580478
46	0.2497207785
47	0.2493045358
48	0.2490368517
49	0.2487952817
50	0.2485814117
51	0.2484062729
52	0.2480531326
53	0.2478354039
54	0.2474892298
55	0.2470750244
56	0.2468408657
57	0.2464028845
58	0.2460478985
59	0.2456458338
60	0.2452572697
61	0.2449650318
62	0.2444515014
63	0.2442562908
64	0.2439099686
65	0.2434876378
66	0.2432295434
67	0.2429932638
68	0.2427590238
69	0.24255549
70	0.2422593917
71	0.242048141
72	0.2417883393
73	0.2414050509
74	0.2412049217
75	0.2408212017
76	0.2405454372
77	0.2403875036
78	0.2401052131
79	0.2399341286
80	0.2397732463
81	0.2396566478
82	0.2394528123
83	0.2391670163
84	0.2390006939
85	0.2386266812
86	0.2382057894
87	0.2379282317
88	0.237806166
89	0.2374781365
90	0.237205063
91	0.2369915682
92	0.236756592
93	0.2363919952
94	0.2361444596
95	0.2360259707
96	0.2358851783
97	0.2356876937
98	0.2354823509
99	0.2352602798
100	0.2350405082
101	0.2348322445
102	0.2347104425
103	0.2344614906
104	0.2341301125
105	0.2340309038
106	0.2339044595
107	0.2335681559
108	0.2332508214
109	0.2329826332
110	0.2327189214
111	0.2326301658
112	0.2324302908
113	0.2320779647
114	0.2318676648
115	0.2314174158
116	0.2312837958
117	0.2311743419
118	0.2308036575
119	0.2304976116
120	0.230223758
121	0.2299011539
122	0.2297195778
123	0.2296247454
124	0.2293545239
125	0.2290741985
126	0.2288342008
127	0.2285195007
128	0.228247251
129	0.2280370274
130	0.2278154495
131	0.2273799486
132	0.2272450048
133	0.2270151089
134	0.2266584906
135	0.2265178265
136	0.2263877855
137	0.2261447709
138	0.2258840958
139	0.2257089988
140	0.2256445325
141	0.2253756597
142	0.2251940598
143	0.2249879645
144	0.2247812465
145	0.2245734359
146	0.2243589824
147	0.2239696268
148	0.2237149844
149	0.2235161936
150	0.2233322723
151	0.2231985065
152	0.223120764
153	0.2230270982
154	0.222918415
155	0.2227873785
156	0.2226296573
157	0.2224930954
158	0.2222792159
159	0.2221401433
160	0.2219635356
161	0.221864828
162	0.2216827237
163	0.221439822
164	0.2212390911
165	0.2209205594
166	0.2206255367
167	0.2204222481
168	0.2202357613
169	0.2200819164
170	0.2198425091
171	0.2196272662
172	0.2193635137
173	0.2191764184
174	0.218964627
175	0.2188468324
176	0.2186796092
177	0.2184826167
178	0.2182859753
179	0.2181398253
180	0.2179778845
181	0.2177828686
182	0.2175862721
183	0.2174178681
184	0.2172194118
185	0.2168499652
186	0.2166412942
187	0.2164183231
188	0.2160938778
189	0.2157437516
190	0.2155626865
191	0.2154227213
192	0.21522492
193	0.2150943644
194	0.2149077727
195	0.2148134717
196	0.2146337679
197	0.2144584418
198	0.2142671318
199	0.2140914083
