iter	Passed	Remaining
0	184	36691
1	197	19583
2	212	13933
3	223	10948
4	232	9071
5	240	7780
6	248	6846
7	256	6154
8	263	5602
9	271	5159
10	278	4791
11	286	4486
12	293	4224
13	301	3999
14	308	3807
15	316	3642
16	324	3492
17	332	3360
18	339	3236
19	347	3125
20	355	3028
21	363	2940
22	371	2856
23	378	2778
24	386	2705
25	394	2640
26	401	2575
27	410	2521
28	418	2468
29	427	2419
30	435	2371
31	442	2323
32	450	2282
33	459	2241
34	466	2200
35	474	2160
36	481	2121
37	489	2085
38	496	2051
39	504	2017
40	511	1985
41	518	1952
42	527	1924
43	534	1893
44	541	1865
45	548	1837
46	556	1810
47	563	1785
48	571	1761
49	579	1737
50	586	1713
51	593	1689
52	601	1667
53	608	1644
54	616	1625
55	624	1606
56	632	1587
57	640	1568
58	648	1549
59	655	1529
60	663	1511
61	670	1491
62	678	1475
63	685	1456
64	692	1439
65	700	1422
66	708	1405
67	715	1388
68	722	1372
69	730	1355
70	737	1339
71	744	1323
72	751	1308
73	759	1293
74	767	1278
75	774	1264
76	782	1249
77	789	1235
78	797	1221
79	804	1206
80	811	1192
81	819	1178
82	826	1165
83	848	1171
84	855	1157
85	863	1144
86	872	1132
87	879	1119
88	886	1105
89	894	1092
90	901	1079
91	908	1066
92	916	1054
93	924	1042
94	931	1029
95	938	1017
96	957	1016
97	968	1007
98	977	997
99	986	986
100	994	974
101	1001	962
102	1009	950
103	1016	938
104	1024	926
105	1032	915
106	1039	903
107	1047	892
108	1054	880
109	1062	868
110	1069	857
111	1077	846
112	1084	834
113	1091	823
114	1098	812
115	1107	801
116	1114	790
117	1121	779
118	1128	768
119	1136	757
120	1143	746
121	1151	736
122	1158	725
123	1165	714
124	1172	703
125	1180	693
126	1187	682
127	1193	671
128	1201	661
129	1208	650
130	1216	640
131	1224	630
132	1232	620
133	1240	610
134	1248	601
135	1255	590
136	1262	580
137	1270	570
138	1278	560
139	1285	550
140	1292	540
141	1300	531
142	1308	521
143	1316	511
144	1324	502
145	1331	492
146	1338	482
147	1346	473
148	1353	463
149	1361	453
150	1368	444
151	1376	434
152	1385	425
153	1392	415
154	1399	406
155	1406	396
156	1414	387
157	1421	377
158	1430	368
159	1437	359
160	1445	350
161	1453	340
162	1461	331
163	1468	322
164	1477	313
165	1484	304
166	1492	294
167	1500	285
168	1507	276
169	1515	267
170	1522	258
171	1530	249
172	1538	240
173	1546	231
174	1553	221
175	1560	212
176	1568	203
177	1576	194
178	1584	185
179	1591	176
180	1599	167
181	1607	158
182	1615	150
183	1622	141
184	1630	132
185	1638	123
186	1646	114
187	1654	105
188	1662	96
189	1669	87
190	1677	79
191	1684	70
192	1692	61
193	1699	52
194	1707	43
195	1715	35
196	1722	26
197	1730	17
198	1738	8
199	1745	0
